"ID","OFFICECODE","OFFICENAME","OFFICETYPEID","EMAIL","MOBILENO","TELEPHONENUMBER","WEBADDRESS","ISACTIVE","CREATEDDATE","CREATEDBY","MODIFIEDDATE","MODIFIEDBY","DELETEDBY","ISDELETED","PROFESSIONALTAX","DELETEDDATE","PARENTOFFICEID","DICOFFICETYPEID","BANKNAME","BANKACCOUNTNO","IFSCCODE","BRANCHNAME"
836,"1878","KENDRIYA VIDYALAYA LEKHA PANI",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
837,"1894","KENDRIYA VIDYALAYA TINSUKIA",,"","","","",1,,"",,"","",0,"",,1794,6,"","","",""
838,"1810","KENDRIYA VIDYALAYA AINWAN",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
839,"1813","KENDRIYA VIDYALAYA (IOC) NO.II BARAUNI",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
840,"1814","KENDRIYA VIDYALAYA GARHARA",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
841,"1815","KENDRIYA VIDYALAYA BETIAH",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
842,"1816","KENDRIYA VIDYALAYA (AFS) BIHATA",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
843,"1817","KENDRIYA VIDYALAYA BUXAR",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
844,"1819","KENDRIYA VIDYALAYA (AFS) NO I DARBHANGA",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
845,"1821","KENDRIYA VIDYALAYA No. I GAYA",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
846,"1822","KENDRIYA VIDYALAYA No. II GAYA",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
847,"1826","KENDRIYA VIDYALAYA HAJIPUR",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
848,"1827","KENDRIYA VIDYALAYA JAMALPUR",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
849,"1828","KENDRIYA VIDYALAYA JAWAHAR NAGAR",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
850,"1829","KENDRIYA VIDYALAYA (NTPC) KAHAL GAON",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
851,"1830","KENDRIYA VIDYALAYA KATIHAR",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
852,"1831","KENDRIYA VIDYALAYA KHAGARIA",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
853,"1832","KENDRIYA VIDYALAYA (BSF) KISHAN GANJ",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
854,"1833","KENDRIYA VIDYALAYA LAKHISA RAI",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
855,"1835","KENDRIYA VIDYALAYA MASHRAK",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
856,"1836","KENDRIYA VIDYALAYA MOTIHARI",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
857,"1837","KENDRIYA VIDYALAYA (CRPF)MOKAM GHAT",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
858,"1839","KENDRIYA VIDYALAYA MUZZAFFARPUR",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
859,"1840","KENDRIYA VIDYALAYA DANAPUR CANTT",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
860,"1841","KENDRIYA VIDYALAYA KHAGAUL",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
861,"1843","KENDRIYA VIDYALAYA NO.II BAILEY ROAD PATNA",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
862,"1844","KENDRIYA VIDYALAYA PUSA-RAU",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
863,"1846","KENDRIYA VIDYALAYA SAHARSA",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
864,"1847","KENDRIYA VIDYALAYA SAMASTIPUR",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
865,"1849","KENDRIYA VIDYALAYA SONPUR",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
866,"1938","KENDRIYA VIDYALAYA CHAPRA",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
867,"1939","KENDRIYA VIDYALAYA GOPALGANJ",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
868,"1945","KENDRIYA VIDYALAYA BANKA",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
869,"1946","KENDRIYA VIDYALAYA NO 1 BARAUNI",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
870,"1947","KENDRIYA VIDYALAYA NO II DARBHANGA",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
871,"1948","KENDRIYA VIDYALAYA SIWAN",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
872,"2062","KENDRIYA VIDYALAYA ARAH",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
873,"2063","KENDRIYA VIDYALAYA PURNIA",,"","","","",1,,"",,"","",0,"",,1790,6,"","","",""
